ms_sub_class,ms_zoning,lot_frontage,lot_area,alley,lot_shape,land_contour,lot_config,neighborhood,condition1,bldg_type,house_style,overall_qual,overall_cond,roof_style,exterior1st,exterior2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type1,bsmt_fin_sf1,bsmt_fin_type2,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,fence,mo_sold,yr_sold,sale_type,sale_condition,sale_price,age,remod_age,garage_age
60.0,RL,65.0,8450.0,none,4.0,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7.0,5.0,Gable,VinylSd,VinylSd,BrkFace,196.0,4.0,3.0,PConc,4.0,3.0,No,GLQ,706.0,Unf,0.0,150.0,856.0,5.0,1.0,SBrkr,856.0,854.0,1710.0,1.0,0.0,2.0,1.0,3.0,4.0,8.0,8.0,0.0,0.0,Attchd,2.0,2.0,548.0,3.0,2.0,0.0,61.0,0.0,0.0,none,feb,eight,WD,Normal,208500.0,5.0,5.0,5.0
20.0,RL,80.0,9600.0,none,4.0,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6.0,8.0,Gable,MetalSd,MetalSd,None,0.0,3.0,3.0,CBlock,4.0,3.0,3,ALQ,978.0,Unf,0.0,284.0,1262.0,5.0,1.0,SBrkr,1262.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,3.0,6.0,8.0,1.0,3.0,Attchd,2.0,2.0,460.0,3.0,2.0,298.0,0.0,0.0,0.0,none,may,seven,WD,Normal,181500.0,31.0,31.0,31.0
60.0,RL,68.0,11250.0,none,3.0,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7.0,5.0,Gable,VinylSd,VinylSd,BrkFace,162.0,4.0,3.0,PConc,4.0,3.0,1,GLQ,486.0,Unf,0.0,434.0,920.0,5.0,1.0,SBrkr,920.0,866.0,1786.0,1.0,0.0,2.0,1.0,3.0,4.0,6.0,8.0,1.0,3.0,Attchd,2.0,2.0,608.0,3.0,2.0,0.0,42.0,0.0,0.0,none,sep,eight,WD,Normal,223500.0,7.0,6.0,7.0
70.0,RL,60.0,9550.0,none,3.0,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7.0,5.0,Gable,Wd Sdng,Wd Shng,None,0.0,3.0,3.0,BrkTil,3.0,4.0,No,ALQ,216.0,Unf,0.0,540.0,756.0,4.0,1.0,SBrkr,961.0,756.0,1717.0,1.0,0.0,1.0,0.0,3.0,4.0,7.0,8.0,1.0,4.0,Detchd,1.0,3.0,642.0,3.0,2.0,0.0,35.0,272.0,0.0,none,feb,six,WD,Abnorml,140000.0,91.0,36.0,8.0
60.0,RL,84.0,14260.0,none,3.0,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8.0,5.0,Gable,VinylSd,VinylSd,BrkFace,350.0,4.0,3.0,PConc,4.0,3.0,2,GLQ,655.0,Unf,0.0,490.0,1145.0,5.0,1.0,SBrkr,1145.0,1053.0,2198.0,1.0,0.0,2.0,1.0,4.0,4.0,9.0,8.0,1.0,3.0,Attchd,2.0,3.0,836.0,3.0,2.0,192.0,84.0,0.0,0.0,none,dec,eight,WD,Normal,250000.0,8.0,8.0,8.0
50.0,RL,85.0,14115.0,none,3.0,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5.0,5.0,Gable,VinylSd,VinylSd,None,0.0,3.0,3.0,Wood,4.0,3.0,No,GLQ,732.0,Unf,0.0,64.0,796.0,5.0,1.0,SBrkr,796.0,566.0,1362.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,8.0,0.0,0.0,Attchd,1.0,2.0,480.0,3.0,2.0,40.0,30.0,0.0,0.0,MnPrv,oct,nine,WD,Normal,143000.0,16.0,14.0,16.0
20.0,RL,75.0,10084.0,none,4.0,Lvl,Inside,Somerst,Norm,1Fam,1Story,8.0,5.0,Gable,VinylSd,VinylSd,Stone,186.0,4.0,3.0,PConc,5.0,3.0,2,GLQ,1369.0,Unf,0.0,317.0,1686.0,5.0,1.0,SBrkr,1694.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,4.0,7.0,8.0,1.0,4.0,Attchd,2.0,2.0,636.0,3.0,2.0,255.0,57.0,0.0,0.0,none,aug,seven,WD,Normal,307000.0,3.0,2.0,3.0
60.0,RL,0.0,10382.0,none,3.0,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7.0,6.0,Gable,HdBoard,HdBoard,Stone,240.0,3.0,3.0,CBlock,4.0,3.0,1,ALQ,859.0,BLQ,32.0,216.0,1107.0,5.0,1.0,SBrkr,1107.0,983.0,2090.0,1.0,0.0,2.0,1.0,3.0,3.0,7.0,8.0,2.0,3.0,Attchd,2.0,2.0,484.0,3.0,2.0,235.0,204.0,228.0,0.0,none,nov,nine,WD,Normal,200000.0,36.0,36.0,36.0
50.0,RM,51.0,6120.0,none,4.0,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7.0,5.0,Gable,BrkFace,Wd Shng,None,0.0,3.0,3.0,BrkTil,3.0,3.0,No,Unf,0.0,Unf,0.0,952.0,952.0,4.0,1.0,FuseF,1022.0,752.0,1774.0,0.0,0.0,2.0,0.0,2.0,3.0,8.0,7.0,2.0,3.0,Detchd,1.0,2.0,468.0,2.0,2.0,90.0,0.0,205.0,0.0,none,apr,eight,WD,Abnorml,129900.0,77.0,58.0,77.0
190.0,RL,50.0,7420.0,none,4.0,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5.0,6.0,Gable,MetalSd,MetalSd,None,0.0,3.0,3.0,BrkTil,3.0,3.0,No,GLQ,851.0,Unf,0.0,140.0,991.0,5.0,1.0,SBrkr,1077.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,8.0,2.0,3.0,Attchd,2.0,1.0,205.0,4.0,2.0,0.0,4.0,0.0,0.0,none,jan,eight,WD,Normal,118000.0,69.0,58.0,69.0
20.0,RL,70.0,11200.0,none,4.0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5.0,5.0,Hip,HdBoard,HdBoard,None,0.0,3.0,3.0,CBlock,3.0,3.0,No,Rec,906.0,Unf,0.0,134.0,1040.0,5.0,1.0,SBrkr,1040.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,8.0,0.0,0.0,Detchd,1.0,1.0,384.0,3.0,2.0,0.0,0.0,0.0,0.0,none,feb,eight,WD,Normal,129500.0,43.0,43.0,43.0
60.0,RL,85.0,11924.0,none,3.0,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9.0,5.0,Hip,WdShing,Wd Shng,Stone,286.0,5.0,3.0,PConc,5.0,3.0,No,GLQ,998.0,Unf,0.0,177.0,1175.0,5.0,1.0,SBrkr,1182.0,1142.0,2324.0,1.0,0.0,3.0,0.0,4.0,5.0,11.0,8.0,2.0,4.0,BuiltIn,3.0,3.0,736.0,3.0,2.0,147.0,21.0,0.0,0.0,none,jul,six,New,Partial,345000.0,1.0,0.0,1.0
